City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Ayan,RU,56.45,138.1667,25.39,91,100,18.95,light snow
280,Jalu,LY,29.0331,21.5482,78.8,13,9,11.14,clear sky
281,Juneau,US,58.3019,-134.4197,39.22,97,100,28.77,overcast clouds
282,Qaqortoq,GL,60.7167,-46.0333,41.94,74,100,2.24,overcast clouds
283,Hibbing,US,47.4272,-92.9377,41.4,37,100,12.66,overcast clouds
284,Taksimo,RU,56.3444,114.8794,5.49,83,92,4.68,overcast clouds
285,Puerto Escondido,MX,15.85,-97.0667,87.17,48,4,8.77,clear sky
286,Constantine,DZ,36.365,6.6147,47.61,76,75,10.36,broken clouds
287,Rio Grande,BR,-32.035,-52.0986,66.31,87,100,13.56,moderate rain
288,Zhoucheng,CN,35.9122,116.3117,45.16,79,9,7.52,clear sky
289,Belaya Gora,RU,68.5333,146.4167,-22.11,100,96,0.89,overcast clouds
290,Wadi Musa,JO,30.3222,35.4793,66.9,17,94,4.34,overcast clouds
291,Lebu,CL,-37.6167,-73.65,56.89,63,0,18.63,clear sky
292,Saint-Francois,FR,46.4154,3.9054,36.84,70,0,4.61,clear sky
293,Albi,FR,43.9298,2.148,36.46,82,70,3.22,broken clouds
294,Kalengwa,ZM,-13.4659,25.0027,63.09,97,77,1.77,light rain
295,Oussouye,SN,12.485,-16.5469,77.18,70,100,14.47,overcast clouds
296,Luanda,AO,-8.8368,13.2343,80.6,74,75,10.36,broken clouds
297,Torbay,CA,47.6666,-52.7314,41.88,71,20,35.68,few clouds
298,Abu Dhabi,AE,24.4667,54.3667,75.31,85,0,1.14,clear sky
299,Ambilobe,MG,-13.2,49.05,73.2,97,99,2.21,light rain
300,Rawson,AR,-43.3002,-65.1023,62.29,26,13,15.77,few clouds
301,Bambanglipuro,ID,-7.95,110.2833,76.06,87,100,4.27,overcast clouds
302,Kaitangata,NZ,-46.2817,169.8464,47.16,94,92,5.17,overcast clouds
303,Pacifica,US,37.6138,-122.4869,77.61,69,20,20.71,mist
304,Hasaki,JP,35.7333,140.8333,48.29,75,98,21.16,light rain
305,Solnechnyy,RU,50.7214,136.6319,33.6,82,100,7.63,overcast clouds
306,Doka,SD,13.5167,35.7667,94.03,15,17,11.48,few clouds
307,Zhigansk,RU,66.7697,123.3711,2.03,98,98,9.1,overcast clouds
308,Srivardhan,IN,18.0333,73.0167,78.35,78,12,5.86,few clouds
309,Asyut,EG,27.181,31.1837,78.98,11,98,5.55,overcast clouds
310,Ati,TD,13.2154,18.3353,90.86,8,100,9.17,overcast clouds
